,Accuracy,f1_score
0,98.47328244274809,96.66666666666666
1,98.09160305343512,97.07602339181285
2,97.32824427480917,94.57364341085271
4,95.41984732824427,91.42857142857143
5,99.23664122137404,98.27586206896551
6,95.41984732824427,87.2340425531915
7,90.83969465648855,75.0
9,99.61832061068702,98.66666666666666
12,98.47328244274809,95.1219512195122
15,96.94656488549617,76.47058823529413
17,93.89312977099237,88.57142857142858
20,99.61832061068702,96.55172413793103
23,93.12977099236642,65.38461538461537
24,97.70992366412213,89.28571428571428
25,98.85496183206108,98.66666666666667
27,99.23664122137404,98.14814814814815
